,rank,song_title,artist,lytics_link
107,8,Bartier Cardi,Cardi B,http://web.archive.org/web/20180111170335/https://genius.com/Cardi-b-bartier-cardi-lyrics
108,9,​​rockstar,Post Malone,http://web.archive.org/web/20180111170335/https://genius.com/Post-malone-rockstar-lyrics
109,10,Finesse (Remix),Bruno Mars,http://web.archive.org/web/20180111170335/https://genius.com/Bruno-mars-finesse-remix-lyrics
110,1,Man's Not Hot,Big Shaq,http://web.archive.org/web/20180111170335/https://genius.com/Big-shaq-mans-not-hot-lyrics
111,2,Chloraseptic (Remix),Eminem,http://web.archive.org/web/20180111170335/https://genius.com/Eminem-chloraseptic-remix-lyrics
112,3,This Is Me,Keala Settle,http://web.archive.org/web/20180111170335/https://genius.com/Keala-settle-this-is-me-lyrics
113,4,River,Eminem,http://web.archive.org/web/20180111170335/https://genius.com/Eminem-river-lyrics
114,5,Rewrite the Stars,Zac Efron,http://web.archive.org/web/20180111170335/https://genius.com/Zac-efron-rewrite-the-stars-lyrics
115,6,Too Good at Goodbyes,Sam Smith,http://web.archive.org/web/20180111170335/https://genius.com/Sam-smith-too-good-at-goodbyes-lyrics
116,7,A Million Dreams,Ziv Zaifman,http://web.archive.org/web/20180111170335/https://genius.com/Ziv-zaifman-a-million-dreams-lyrics
117,8,Bartier Cardi,Cardi B,http://web.archive.org/web/20180111170335/https://genius.com/Cardi-b-bartier-cardi-lyrics
118,9,​​rockstar,Post Malone,http://web.archive.org/web/20180111170335/https://genius.com/Post-malone-rockstar-lyrics
119,10,Finesse (Remix),Bruno Mars,http://web.archive.org/web/20180111170335/https://genius.com/Bruno-mars-finesse-remix-lyrics
120,1,Man's Not Hot,Big Shaq,http://web.archive.org/web/20180114125914/https://genius.com/Big-shaq-mans-not-hot-lyrics
121,2,This Is Me,Keala Settle,http://web.archive.org/web/20180114125914/https://genius.com/Keala-settle-this-is-me-lyrics
122,3,River,Eminem,http://web.archive.org/web/20180114125914/https://genius.com/Eminem-river-lyrics
123,4,Rewrite the Stars,Zac Efron,http://web.archive.org/web/20180114125914/https://genius.com/Zac-efron-rewrite-the-stars-lyrics
124,5,End Game,Taylor Swift,http://web.archive.org/web/20180114125914/https://genius.com/Taylor-swift-end-game-lyrics
